誤った文言・表記／読み,正しい文言・表記,理由／意味
先生、教師,教員,学校で統一。 
指差し ,指さし,学校で統一。 
他害,他傷,学校で統一。 
子供 ,子ども,「供する」につながるため。 
障害 ,障がい ,「害」はなじまない。大阪府の方針。 
声掛け、声かけ ,言葉かけ ,言葉で伝えている場合。「はい」などの合図の場合は前者でも可。 
イス、カゴ、セリフ、ハサミ,いす、かご、,外来語でないため。
セリフ、ハサミ,台詞（せりふ）、はさみ,外来語でないため。
ハロウィン,ハロウィーン,英語の発音に基づく。
クレパス ,クレヨン、パス,特定の商品名は使用しない。 
ピアニカ ,鍵盤ハーモニカ,特定の商品名は使用しない。 
iPad ,タブレット端末 ,特定の商品名は使用しない。 
男の子らしい声 , ,性別によるイメージを固定化した表現は使用を控える傾向。
女の子らしく～した ,,性別によるイメージを固定化した表現は使用を控える傾向。
父兄,保護者,性別を固定する表現や、外国籍の家庭に馴染まない表現は使用を控える傾向。
保母,保育士,性別を固定する表現や、外国籍の家庭に馴染まない表現は使用を控える傾向。
看護婦,看護師,性別を固定する表現や、外国籍の家庭に馴染まない表現は使用を控える傾向。
氏名,名前,性別を固定する表現や、外国籍の家庭に馴染まない表現は使用を控える傾向。
目を通す ,見る,体を使った比喩表現は使用を控える傾向のため。
耳をかたむける ,聴く,体を使った比喩表現は使用を控える傾向のため。
手短に,簡潔に,体を使った比喩表現は使用を控える傾向のため。
手落ち,不手際,体を使った比喩表現は使用を控える傾向のため。
手が足りない,人員不足,体を使った比喩表現は使用を控える傾向のため。
足がない,移動手段がない,体を使った比喩表現は使用を控える傾向のため。
～してくれた ,～した、～できた ,児童生徒を主体にして表記する。 
 ～してもらった,,児童生徒を主体にして表記する。 
～したりする ,～したり～したりする,複数で使用する。
いろんな,いろいろな,口語表現は避ける。 
すごい～,非常に～,口語表現は避ける。 
するよう促す,するように促す,口語表現は避ける。 
～だなと思う,～だと思う,口語表現は避ける。 
ちゃんと,正しく、最後まで、など,口語表現は避ける。 
ちょっかい,いたずら、など,口語表現は避ける。 
～のように見られる,～の姿(様子)が見られる,口語表現は避ける。 
～らへん,～のあたり,口語表現は避ける。 
お片付け,片付け,丁寧すぎる表現は避ける。
お皿,皿,丁寧すぎる表現は避ける。
お友だち,友だち,丁寧すぎる表現は避ける。
お箸,箸,丁寧すぎる表現は避ける。
帰れる,帰ることができる,ら抜きことばに注意。 
書ける,書くことができる,可能の意味を表現する場合には、できるだけ「・・・～することができる」と表現する。 
切れる,切ることができる,可能の意味を表現する場合には、できるだけ「・・・～することができる」と表現する。 
着れる,着られる,可能の意味を表現する場合には、できるだけ「・・・～することができる」と表現する。 
越えれる,越えられる,可能の意味を表現する場合には、できるだけ「・・・～することができる」と表現する。 
食べれる,食べられる,可能の意味を表現する場合には、できるだけ「・・・～することができる」と表現する。 
話せる,話すことができる,可能の意味を表現する場合には、できるだけ「・・・～することができる」と表現する。 
見れる、見ることができる,見られる、見ることができる,可能の意味を表現する場合には、できるだけ「・・・～することができる」と表現する。 
～させる,～できるようにする、など,誤用ではないが、多用すると、きつい印象になるため注意。
有る,ある,ひらがな表記とする。
居る,いる,ひらがな表記とする。
出来る,できる,ひらがな表記とする。
成る,なる,ひらがな表記とする。
分かる,わかる,ひらがな表記とする。
色々な,いろいろな,ひらがな表記とする。
毎に,ごとに,ひらがな表記とする。
従って,したがって,ひらがな表記とする。
友達,友だち,ひらがな表記とする。
一人一人,一人ひとり,ひらがな表記とする。
目指す,めざす,ひらがな表記とする。
１人ずつ、１日体験、１週間 ,一人ずつ、一日体験、一週間 ,熟語になっている場合は漢数字。
六年、一学期、五月、二周,６年、１学期、５月、２周,学年・学期・月・数詞は算用数字。 
窺う,うかがう,常用外漢字は平仮名表記にすることが多い。
揃う,そろう,常用外漢字は平仮名表記にすることが多い。
掴む,つかむ,常用外漢字は平仮名表記にすることが多い。
繋ぐ,つなぐ,常用外漢字は平仮名表記にすることが多い。
摘まむ,つまむ,常用外漢字は平仮名表記にすることが多い。
～する事、物、時,～すること、もの、とき,形式名詞は平仮名表記が一般的。
～する為、所、度,ため、ところ、たび,形式名詞は平仮名表記が一般的。
～の様だ、通り,～のようだ、とおり,形式名詞は平仮名表記が一般的。
～の上、方,～のうえ、ほう,形式名詞は平仮名表記が一般的。
或いは,あるいは,接続詞は平仮名表記が一般的。
且つ,かつ,接続詞は平仮名表記が一般的。
